assembly	Aquaporin	Cell wall / glycoside hydrolase	Chaperone / heat shock	Chromatin / histone	Cytochrome P450	DNA repair / recombination	DNA replication	Glycosyltransferase / UGT	Helicase	Hormone: ABA / PP2C	Hormone: GA / DELLA	Hormone: JA / TIFY	Hormone: auxin	Immunity: LRR (receptor/adaptor)	Immunity: NLR (NBS-LRR)	Immunity: PR / defense protein	Immunity: peroxidase / ROS	Immunity: receptor kinase	PPR (organelle RNA editing)	Protein kinase (catalytic)	RNA binding / processing	TF: AP2/ERF	TF: C2H2 zinc finger	TF: GRAS	TF: MADS-box	TF: MYB	TF: NAC	TF: WRKY	TF: bHLH	TF: bZIP	TF: heat shock factor	TF: homeobox / HD-ZIP	Terpene synthase	Transporter: ABC	Transporter: MFS / sugar / nitrate	Ubiquitin / proteolysis
Arabidopsis_thaliana	38	660	290	390	253	67	90	246	188	78	40	18	56	750	178	265	92	293	471	1087	579	156	172	34	110	362	126	76	178	76	25	47	47	120	176	2572
Glycine_max	88	1254	625	658	455	109	191	482	605	156	105	35	135	1601	505	285	196	590	900	2488	1036	377	394	117	173	946	205	190	412	153	55	116	43	256	409	3633
Hordeum_vulgare	41	761	331	483	14	76	96	354	303	77	85	37	75	1284	475	241	227	490	503	1625	566	292	217	57	86	438	230	105	183	88	28	46	54	143	235	2944
Oryza_sativa	39	646	294	314	348	58	87	300	185	80	59	23	66	1020	356	167	151	419	465	1354	523	149	177	52	56	318	125	97	164	83	27	43	48	133	224	2321
Sorghum_bicolor	41	703	331	354	356	69	114	340	191	82	74	25	67	997	355	211	159	338	493	1328	548	191	202	80	78	378	172	105	197	98	26	50	57	137	235	2699
Triticum_aestivum	133	2432	1084	1441	1575	199	283	1323	602	237	236	76	220	5423	2390	842	717	1600	1702	5408	1732	648	646	181	281	1258	511	318	602	270	83	145	221	476	780	11404
