assembly	CC_only	CNL	CRK-DUF26	CrRLK1L	CrRLP1L	EGF/WAK-like	G-lectin-RLK	G-lectin-RLP	L-lectin-RLK	L-lectin-RLP	LRR-RLK	LRR-RLP	LysM-RLK	LysM-RLP	MLO	NL	NPR-like	N_only	PR-1	PR-10_BetV1	PR-12_defensin	PR-16_germin	PR-2_glucanase	PR-3_4_chitinase	PR-4_barwin	PR-5_thaumatin	PR-9_peroxidase	RBOH	RNL	RPW8_only	TIR_only	TNL	WAK	WRKY_TF
Arabidopsis_thaliana	0	21	96	61	14	11	38	14	43	11	183	373	5	9	15	31	7	5	22	29	15	31	51	15	0	22	82	9	6	5	36	104	41	70
Glycine_max	16	154	142	75	17	28	161	24	66	28	473	698	22	31	41	96	9	30	24	43	9	66	94	17	6	60	206	15	8	1	68	145	90	183
Hordeum_vulgare	32	311	75	51	9	23	137	23	77	10	267	640	7	18	14	63	6	16	39	19	12	89	66	18	5	37	211	14	1	0	1	2	158	97
Oryza_sativa	64	203	75	36	20	19	98	27	58	10	228	517	4	14	12	76	7	36	33	9	8	41	59	18	5	40	144	8	0	0	1	1	123	88
Sorghum_bicolor	26	237	61	28	7	19	93	8	54	3	249	438	7	24	14	54	6	16	14	13	16	54	54	18	5	45	155	9	1	0	2	2	95	93
Triticum_aestivum	204	1559	274	167	34	40	471	68	251	31	946	2672	23	54	49	403	19	109	83	48	67	261	210	96	23	133	696	39	3	0	3	5	470	293
