species	species_dir	assembly	ensembl_plants_release	filename	url	clade	ploidy	n_subgenomes	monoploid_genomes	subgenome_id_rule	normalization	role
Arabidopsis thaliana	arabidopsis_thaliana	TAIR10	63	Arabidopsis_thaliana.TAIR10.pep.all.fa.gz	https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/current/fasta/arabidopsis_thaliana/pep/Arabidopsis_thaliana.TAIR10.pep.all.fa.gz	dicot	2	1	1	-	diploid: counts used as-is (1 monoploid genome)	outgroup
Oryza sativa Japonica	oryza_sativa	IRGSP-1	63	Oryza_sativa.IRGSP-1.0.pep.all.fa.gz	https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/current/fasta/oryza_sativa/pep/Oryza_sativa.IRGSP-1.0.pep.all.fa.gz	monocot_BOP	2	1	1	-	diploid: counts used as-is (1 monoploid genome)	outgroup
Sorghum bicolor	sorghum_bicolor	Sorghum_bicolor_NCBIv3	63	Sorghum_bicolor.Sorghum_bicolor_NCBIv3.pep.all.fa.gz	https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/current/fasta/sorghum_bicolor/pep/Sorghum_bicolor.Sorghum_bicolor_NCBIv3.pep.all.fa.gz	monocot_PACMAD	2	1	1	-	diploid: counts used as-is (1 monoploid genome)	outgroup
Triticum aestivum	triticum_aestivum	IWGSC	63	Triticum_aestivum.IWGSC.pep.all.fa.gz	https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/current/fasta/triticum_aestivum/pep/Triticum_aestivum.IWGSC.pep.all.fa.gz	monocot_BOP	6	3	3	chromosome name matches ^([1-7])([ABD])$ -> subgenome = group(2)	allohexaploid AABBDD: subgenome from chromosome ID suffix (1A..7A / 1B..7B / 1D..7D); report raw AND /3 per-monoploid	outgroup
Hordeum vulgare	hordeum_vulgare	MorexV3_pseudomolecules_assembly	63	Hordeum_vulgare.MorexV3_pseudomolecules_assembly.pep.all.fa.gz	https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/current/fasta/hordeum_vulgare/pep/Hordeum_vulgare.MorexV3_pseudomolecules_assembly.pep.all.fa.gz	monocot_BOP	2	1	1	-	diploid: counts used as-is (1 monoploid genome)	outgroup
Glycine max	glycine_max	Glycine_max_v2	63	Glycine_max.Glycine_max_v2.1.pep.all.fa.gz	https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/current/fasta/glycine_max/pep/Glycine_max.Glycine_max_v2.1.pep.all.fa.gz	dicot	2	1	1	-	diploid genome with ancient paleopolyploidy (2 rounds WGD, ~13 & ~59 Mya); NOT divided - retained duplicates are real gene copies, flagged for interpretation	outgroup
